Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,source_folder,Comments,Stage,Group
Round 1 | Leg 1,(Sun) 4 Sep 1955 (W35),Sporting CP › POR (1),3-3,1-1,Partizan Belgrade › SRB (1),,,,1955-56,,,
Round 1 | Leg 1,(Wed) 7 Sep 1955 (W36),Budapesti Voros Lobogo › HUN (1),6-3,3-2,RSC Anderlecht › BEL (1),,,,1955-56,,,
Round 1 | Leg 1,(Thu) 8 Sep 1955 (W36),Servette Geneve › SUI (1),0-2,0-0,Real Madrid CF › ESP (1),,,,1955-56,,,
Round 1 | Leg 1,(Wed) 14 Sep 1955 (W37),Rot-Weiss Essen › GER (1),0-4,0-2,Hibernian FC › SCO (1),,,,1955-56,,,
Round 1 | Leg 1,(Tue) 20 Sep 1955 (W38),Djurgardens IF › SWE (1),0-0,0-0,Gwardia Warszawa › POL (1),,,,1955-56,,,
Round 1 | Leg 1,(Wed) 21 Sep 1955 (W38),Rapid Wien › AUT (1),6-1,1-1,PSV Eindhoven › NED (1),,,,1955-56,,,
Round 1 | Leg 1,(Wed) 21 Sep 1955 (W38),Aarhus GF › DEN (1),0-2,0-1,Stade Reims › FRA (1),,,,1955-56,,,
Round 1 | Leg 2,(Wed) 12 Oct 1955 (W41),Partizan Belgrade › SRB (2),5-2,2-0,Sporting CP › POR (2),8-5 (agg.),,,1955-56,,,
Round 1 | Leg 2,(Wed) 12 Oct 1955 (W41),Hibernian FC › SCO (2),1-1,1-0,Rot-Weiss Essen › GER (2),5-1 (agg.),,,1955-56,,,
Round 1 | Leg 2,(Wed) 12 Oct 1955 (W41),Real Madrid CF › ESP (2),5-0,2-0,Servette Geneve › SUI (2),7-0 (agg.),,,1955-56,,,
Round 1 | Leg 2,(Wed) 12 Oct 1955 (W41),Gwardia Warszawa › POL (2),1-4,1-4,Djurgardens IF › SWE (2),1-4 (agg.),,,1955-56,,,
Round 1 | Leg 2,(Wed) 19 Oct 1955 (W42),RSC Anderlecht › BEL (2),1-4,1-1,Budapesti Voros Lobogo › HUN (2),4-10 (agg.),,,1955-56,,,
Round 1 | Leg 2,(Wed) 26 Oct 1955 (W43),Stade Reims › FRA (2),2-2,0-0,Aarhus GF › DEN (2),4-2 (agg.),,,1955-56,,,
Round 1 | Leg 1,(Tue) 1 Nov 1955 (W44),AC Milan › ITA (1),3-4,3-2,1. FC Saarbrücken › GER (1),,,,1955-56,,,
Round 1 | Leg 2,(Tue) 1 Nov 1955 (W44),PSV Eindhoven › NED (2),1-0,1-0,Rapid Wien › AUT (2),2-6 (agg.),,,1955-56,,,
Round 1 | Leg 2,(Wed) 23 Nov 1955 (W47),1. FC Saarbrücken › GER (2),1-4,1-1,AC Milan › ITA (2),5-7 (agg.),,,1955-56,,,
Quarterfinals | Leg 1,(Wed) 23 Nov 1955 (W47),Djurgardens IF › SWE (3),1-3,1-1,Hibernian FC › SCO (3),,,,1955-56,,,
Quarterfinals | Leg 2,(Mon) 28 Nov 1955 (W48),Hibernian FC › SCO (4),1-0,0-0,Djurgardens IF › SWE (4),4-1 (agg.),,,1955-56,,,
Quarterfinals | Leg 1,(Wed) 14 Dec 1955 (W50),Stade Reims › FRA (3),4-2,3-1,Budapesti Voros Lobogo › HUN (3),,,,1955-56,,,
Quarterfinals | Leg 1,(Sun) 25 Dec 1955 (W51),Real Madrid CF › ESP (3),4-0,3-0,Partizan Belgrade › SRB (3),,,,1955-56,,,
Quarterfinals | Leg 2,(Wed) 28 Dec 1955 (W52),Budapesti Voros Lobogo › HUN (4),4-4,1-3,Stade Reims › FRA (4),6-8 (agg.),,,1955-56,,,
Quarterfinals | Leg 1,(Wed) 18 Jan 1956 (W3),Rapid Wien › AUT (3),1-1,1-1,AC Milan › ITA (3),,,,1955-56,,,
Quarterfinals | Leg 2,(Sun) 29 Jan 1956 (W4),Partizan Belgrade › SRB (4),3-0,1-0,Real Madrid CF › ESP (4),3-4 (agg.),,,1955-56,,,
Quarterfinals | Leg 2,(Sun) 12 Feb 1956 (W6),AC Milan › ITA (4),7-2,3-1,Rapid Wien › AUT (4),8-3 (agg.),,,1955-56,,,
Semifinals | Leg 1,(Wed) 4 Apr 1956 (W14),Stade Reims › FRA (5),2-0,0-0,Hibernian FC › SCO (5),,,,1955-56,,,
Semifinals | Leg 2,(Wed) 18 Apr 1956 (W16),Hibernian FC › SCO (6),0-1,0-0,Stade Reims › FRA (6),0-3 (agg.),,,1955-56,,,
Semifinals | Leg 1,(Thu) 19 Apr 1956 (W16),Real Madrid CF › ESP (5),4-2,3-2,AC Milan › ITA (5),,,,1955-56,,,
Semifinals | Leg 2,(Tue) 1 May 1956 (W18),AC Milan › ITA (6),2-1,0-0,Real Madrid CF › ESP (6),4-5 (agg.),,,1955-56,,,
Final,(Wed) 13 Jun 1956 (W24),Real Madrid CF › ESP (7),4-3,0-0,Stade Reims › FRA (7),,,,1955-56,,,
Round 1 | Leg 1,(Wed) 1 Aug 1956 (W31),Borussia Dortmund › GER (1),4-3,1-2,Spora Luxemburg › LUX (1),,,,1956-57,,,
Round 1 | Leg 1,(Sun) 26 Aug 1956 (W34),Dinamo Bucuresti › ROU (1),3-1,1-0,Galatasaray İstanbul AŞ › TUR (1),,,,1956-57,,,
Round 1 | Leg 2,(Thu) 6 Sep 1956 (W36),Spora Luxemburg › LUX (2),2-1,2-1,Borussia Dortmund › GER (2),5-5 (agg.),,,1956-57,,,
Round 1 | Leg 1,(Wed) 12 Sep 1956 (W37),RSC Anderlecht › BEL (1),0-2,0-1,Manchester United FC › ENG (1),,,,1956-57,,,
Round 1 | Leg 1,(Wed) 12 Sep 1956 (W37),SK Slovan Bratislava › SVK (1),4-0,3-0,Legia Warsaw › POL (1),,,,1956-57,,,
Round 1 | Replay,(Sun) 16 Sep 1956 (W37),Borussia Dortmund › GER (3),7-0,4-0,Spora Luxemburg › LUX (3),,,,1956-57,,,
Round 1 | Leg 2,(Wed) 19 Sep 1956 (W38),Legia Warsaw › POL (2),2-0,0-0,SK Slovan Bratislava › SVK (2),2-4 (agg.),,,1956-57,,,
Round 1 | Leg 1,(Wed) 19 Sep 1956 (W38),Aarhus GF › DEN (1),1-1,1-0,OGC Nice › FRA (1),,,,1956-57,,,
Round 1 | Leg 1,(Thu) 20 Sep 1956 (W38),FC Porto › POR (1),1-2,0-1,Athletic Bilbao › ESP (1),,,,1956-57,,,
Round 1 | Leg 2,(Wed) 26 Sep 1956 (W39),Athletic Bilbao › ESP (2),3-2,1-2,FC Porto › POR (2),5-3 (agg.),,,1956-57,,,
Round 1 | Leg 2,(Wed) 26 Sep 1956 (W39),Manchester United FC › ENG (2),10-0,5-0,RSC Anderlecht › BEL (2),12-0 (agg.),,,1956-57,,,
Round 1 | Leg 2,(Thu) 27 Sep 1956 (W39),OGC Nice › FRA (2),5-1,3-0,Aarhus GF › DEN (2),6-2 (agg.),,,1956-57,,,
Round 1 | Leg 2,(Sun) 30 Sep 1956 (W39),Galatasaray İstanbul AŞ › TUR (2),2-1,1-1,Dinamo Bucuresti › ROU (2),3-4 (agg.),,,1956-57,,,
Round of 16 | Leg 1,(Wed) 17 Oct 1956 (W42),Manchester United FC › ENG (3),3-2,3-0,Borussia Dortmund › GER (4),,,,1956-57,,,
Round of 16 | Leg 1,(Wed) 17 Oct 1956 (W42),CDNA Sofia › BUL (1),8-1,3-0,Dinamo Bucuresti › ROU (3),,,,1956-57,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1956 (W43),SK Slovan Bratislava › SVK (3),1-0,1-0,Grasshoppers Zurich › SUI (1),,,,1956-57,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1956 (W43),Rangers FC › SCO (1),2-1,1-1,OGC Nice › FRA (3),,,,1956-57,,,
